roi_id,roi_label,line_y_mm,peak_id,peak_x_mm,method_id,method_label,peak_raw,das_peak_raw,peak_retention_vs_DAS_raw,peak_display_norm,das_peak_display_norm,peak_retention_vs_DAS_display_norm,CNR_raw,CNR_display_norm,background_fluctuation_raw,background_fluctuation_display_norm
liver,Liver,3.3,1,-2.85,DAS,DAS,54.1878662109375,54.1878662109375,1,0.661052748387066,0.661052748387066,1,5.01916969488086,5.01916969488086,4.92253266559276,0.072576843979207
liver,Liver,3.3,2,-1.3,DAS,DAS,63.2745933532715,63.2745933532715,1,0.795025648699224,0.795025648699224,1,6.72002516925929,6.72002516925929,4.92253266559276,0.072576843979207
liver,Liver,3.3,3,0.15,DAS,DAS,60.6677207946777,60.6677207946777,1,0.756590437434668,0.756590437434668,1,4.88622591691553,4.88622591691553,4.92253266559276,0.072576843979207
liver,Liver,3.3,4,1.3,DAS,DAS,46.1922569274902,46.1922569274902,1,0.543167073084275,0.543167073084275,1,3.63921604925787,3.63921604925787,4.92253266559276,0.072576843979207
liver,Liver,3.3,5,2.9,DAS,DAS,44.1177597045898,44.1177597045898,1,0.512581098036487,0.512581098036487,1,3.37893460807213,3.37893460807213,4.92253266559276,0.072576843979207
liver,Liver,3.3,6,5.75,DAS,DAS,51.4383354187012,51.4383354187012,1,0.620514212458401,0.620514212458401,1,5.52409571577171,5.52409571577171,4.92253266559276,0.072576843979207
liver,Liver,3.3,1,-2.85,CF,CF,2.18395638465881,54.1878662109375,0.0403034209938681,0.366479110072753,0.661052748387066,0.554387090844025,7.54900770406704,7.54900770406704,0.16316754176362,0.0287256804246797
liver,Liver,3.3,2,-1.3,CF,CF,2.90494561195374,63.2745933532715,0.0459101427287725,0.493409416854689,0.795025648699224,0.620620753131647,11.2344682761228,11.2344682761228,0.16316754176362,0.0287256804246797
liver,Liver,3.3,3,0.15,CF,CF,3.05063605308533,60.6677207946777,0.050284335938873,0.519058249996636,0.756590437434668,0.68604918105571,10.597568385026,10.597568385026,0.16316754176362,0.0287256804246797
liver,Liver,3.3,4,1.3,CF,CF,1.45806849002838,46.1922569274902,0.0315652143240623,0.238686391864711,0.543167073084275,0.439434574907816,5.13535794405566,5.13535794405566,0.16316754176362,0.0287256804246797
liver,Liver,3.3,5,2.9,CF,CF,2.15771889686584,44.1177597045898,0.0489081701181976,0.361859994767461,0.512581098036487,0.705956571854904,8.43179147276833,8.43179147276833,0.16316754176362,0.0287256804246797
liver,Liver,3.3,6,5.75,CF,CF,1.91139137744904,51.4383354187012,0.0371588886360837,0.318493982593164,0.620514212458401,0.513274275106979,7.7226675049586,7.7226675049586,0.16316754176362,0.0287256804246797
liver,Liver,3.3,1,-2.85,PAC_CF,PAC-CF,2.37357902526855,54.1878662109375,0.0438027771019605,0.303564949868316,0.661052748387066,0.459214413084279,6.88416412916146,6.88416412916146,0.190354701531791,0.0254186184060581
